Feature ID,Chemical Name,Ionization Mode,DTXCID,Correct SSM structure,Number of candidate structures for feature,Chemical metadata score,MS2 score (pos),MS2 score (neg),Hazard score,Chemical metadata rank,MS2 rank (pos),MS2 rank (neg),Hazard rank
5167,ibuprofen,ESI-,DTXCID40244769,FALSE,368,0.02,,0.63,1.50,178,,234,30
5167,ibuprofen,ESI-,DTXCID4030758,FALSE,368,0.08,,0.41,2.24,40,,346,22
5167,ibuprofen,ESI-,DTXCID40342719,FALSE,368,0.01,,0.67,1.33,218,,212,31
5167,ibuprofen,ESI-,DTXCID40384977,FALSE,368,0.04,,0.74,1.50,88,,160,30
5167,ibuprofen,ESI-,DTXCID40406628,FALSE,368,0.03,,0.63,1.50,146,,232,30
5167,ibuprofen,ESI-,DTXCID40413458,FALSE,368,0.03,,0.72,2.50,123,,175,17
5167,ibuprofen,ESI-,DTXCID4042208,FALSE,368,0.17,,0.42,2.00,20,,344,23
5167,ibuprofen,ESI-,DTXCID4047705,FALSE,368,0.22,,0.41,2.45,14,,349,18
5167,ibuprofen,ESI-,DTXCID40581181,FALSE,368,0.02,,1.34,2.33,158,,33,20
5167,ibuprofen,ESI-,DTXCID40618067,FALSE,368,0.01,,0.62,1.50,200,,238,30
5167,ibuprofen,ESI-,DTXCID40618300,FALSE,368,0.01,,0.40,2.00,213,,351,23
5167,ibuprofen,ESI-,DTXCID40653751,FALSE,368,0.01,,0.96,2.00,230,,63,23
5167,ibuprofen,ESI-,DTXCID40672881,FALSE,368,0.02,,0.70,1.50,185,,188,30
5167,ibuprofen,ESI-,DTXCID40778559,FALSE,368,0.01,,0.66,2.50,230,,221,17
5167,ibuprofen,ESI-,DTXCID40815519,FALSE,368,0.12,,0.38,2.52,29,,361,16
5167,ibuprofen,ESI-,DTXCID40848221,FALSE,368,0.01,,0.82,1.50,230,,122,30
5167,ibuprofen,ESI-,DTXCID40878260,FALSE,368,0.01,,1.46,1.50,219,,20,30
5167,ibuprofen,ESI-,DTXCID40895437,FALSE,368,0.01,,1.31,2.67,210,,36,11
5167,ibuprofen,ESI-,DTXCID40919107,FALSE,368,0.01,,0.42,1.50,219,,345,30
5167,ibuprofen,ESI-,DTXCID40961242,FALSE,368,0.01,,0.79,1.50,219,,134,30
5167,ibuprofen,ESI-,DTXCID40977540,FALSE,368,0.01,,0.74,2.50,230,,165,17
5167,ibuprofen,ESI-,DTXCID40979625,FALSE,368,0.01,,0.65,2.50,219,,226,17
5167,ibuprofen,ESI-,DTXCID501005414,FALSE,368,0.02,,0.78,2.50,160,,137,17
5167,ibuprofen,ESI-,DTXCID501043367,FALSE,368,0.02,,0.45,2.50,180,,333,17
5167,ibuprofen,ESI-,DTXCID501432069,FALSE,368,0.03,,0.73,0.00,156,,170,33
5167,ibuprofen,ESI-,DTXCID501463622,FALSE,368,0.01,,1.32,1.00,230,,35,32
